EXPORTED CROSS SECTION DATA
13 2 2
x coordinate
Hole Conc
0.0000000000e+00 0.0000000000e+00 
0.0000000000e+00 9.4254414000e+07 
1.0000000000e-03 8.9908090600e+07 
2.0000000000e-03 8.5130986400e+07 
3.0000000000e-03 8.0020036100e+07 
4.0000000000e-03 7.4673604100e+07 
5.0000000000e-03 6.9188258500e+07 
6.0000000000e-03 6.3655872300e+07 
7.0000000000e-03 5.8161171900e+07 
8.0000000000e-03 5.2779812900e+07 
9.0000000000e-03 4.7577021600e+07 
1.0000000000e-02 4.2606803400e+07 
1.0000000000e-02 0.0000000000e+00 
