EXPORTED CROSS SECTION DATA
13 2 2
x coordinate
Hole Conc
0.0000000000e+00 0.0000000000e+00 
0.0000000000e+00 2.6283017000e+17 
1.0000000000e-03 2.7254273200e+17 
2.0000000000e-03 2.9651188200e+17 
3.0000000000e-03 3.3985228900e+17 
4.0000000000e-03 4.1347278000e+17 
5.0000000000e-03 5.4085973700e+17 
6.0000000000e-03 7.7779469300e+17 
7.0000000000e-03 1.2816751600e+18 
8.0000000000e-03 2.6430416400e+18 
9.0000000000e-03 8.6555166700e+18 
1.0000000000e-02 1.2890421800e+20 
1.0000000000e-02 0.0000000000e+00 
