EXPORTED XY-GRAPH DATA
141 2 2
Gate Voltage
Drain Current
1.0000000000e+01 -5.2481577930e-28 
9.5000000000e+00 -1.2386639450e-29 
9.0000000000e+00 -4.3872608700e-26 
8.5000000000e+00 -2.2273653970e-26 
8.0000000000e+00 -1.6061626250e-27 
7.5000000000e+00 -4.2048569100e-26 
7.0000000000e+00 -1.8311811330e-28 
6.5000000000e+00 -2.8919158940e-26 
6.0000000000e+00 -3.1028547000e-24 
5.5000000000e+00 -2.1931008450e-22 
5.0000000000e+00 -8.9701133240e-21 
4.5000000000e+00 -1.8642384500e-19 
4.0000000000e+00 -1.7274051840e-18 
3.5000000000e+00 -7.4627553280e-18 
3.0000000000e+00 -1.9366914980e-17 
2.5000000000e+00 -3.7778495000e-17 
2.0000000000e+00 -6.2771823060e-17 
1.5000000000e+00 -9.4776232380e-17 
1.0000000000e+00 -1.3476145970e-16 
5.0000000000e-01 -1.8451280720e-16 
3.1227274280e-15 -2.4736123380e-16 
-5.0000000000e-01 -3.2940825070e-16 
-1.0000000000e+00 -4.3587473120e-16 
-1.5000000000e+00 -5.6184436460e-16 
-2.0000000000e+00 -6.9013127570e-16 
-2.5000000000e+00 -8.1664666860e-16 
-3.0000000000e+00 -9.4456460570e-16 
-3.5000000000e+00 -1.0736826430e-15 
-4.0000000000e+00 -1.2037800180e-15 
-4.5000000000e+00 -1.3347400660e-15 
-5.0000000000e+00 -1.4664569140e-15 
-5.5000000000e+00 -1.5988552390e-15 
-6.0000000000e+00 -1.7318712690e-15 
-6.5000000000e+00 -1.8654500280e-15 
-7.0000000000e+00 -1.9995426410e-15 
-7.5000000000e+00 -2.1341053680e-15 
-8.0000000000e+00 -2.2690989720e-15 
-8.5000000000e+00 -2.4044882520e-15 
-9.0000000000e+00 -2.5402416120e-15 
-9.5000000000e+00 -2.6763306490e-15 
-1.0000000000e+01 -2.8127297720e-15 
-1.0500000000e+01 -2.9494158420e-15 
-1.1000000000e+01 -3.0863678560e-15 
-1.1500000000e+01 -3.2235666600e-15 
-1.2000000000e+01 -3.3609946920e-15 
-1.2500000000e+01 -3.4986357610e-15 
-1.3000000000e+01 -3.6364748330e-15 
-1.3500000000e+01 -3.7744978520e-15 
-1.4000000000e+01 -3.9126915500e-15 
-1.4500000000e+01 -4.0510432720e-15 
-1.5000000000e+01 -4.1895407810e-15 
-1.5500000000e+01 -4.3281720310e-15 
-1.6000000000e+01 -4.4669248740e-15 
-1.6500000000e+01 -4.6057866340e-15 
-1.7000000000e+01 -4.7447434260e-15 
-1.7500000000e+01 -4.8837789520e-15 
-1.8000000000e+01 -5.0228721740e-15 
-1.8500000000e+01 -5.1619924980e-15 
-1.9000000000e+01 -5.3010889220e-15 
-1.9500000000e+01 -5.4400636080e-15 
-2.0000000000e+01 -5.5787013640e-15 
-2.0500000000e+01 -5.7164612860e-15 
-2.1000000000e+01 -5.8518146240e-15 
-2.1500000000e+01 -5.9955058200e-15 
-2.2000000000e+01 -6.1345237060e-15 
-2.2500000000e+01 -6.2728592540e-15 
-2.3000000000e+01 -6.4106673190e-15 
-2.3500000000e+01 -6.5488487230e-15 
-2.4000000000e+01 -6.6860207350e-15 
-2.4500000000e+01 -6.8227248490e-15 
-2.5000000000e+01 -6.9590856360e-15 
-2.5500000000e+01 -7.0949381290e-15 
-2.6000000000e+01 -7.2303493970e-15 
-2.6500000000e+01 -7.3652139740e-15 
-2.7000000000e+01 -7.4994997330e-15 
-2.7500000000e+01 -7.6331735860e-15 
-2.8000000000e+01 -7.7662112310e-15 
-2.8500000000e+01 -7.8985998680e-15 
-2.9000000000e+01 -8.0303365780e-15 
-2.9500000000e+01 -8.1614251730e-15 
-3.0000000000e+01 -8.2918737230e-15 
-3.0500000000e+01 -8.4216927590e-15 
-3.1000000000e+01 -8.5508941320e-15 
-3.1500000000e+01 -8.6794903090e-15 
-3.2000000000e+01 -8.8074939240e-15 
-3.2500000000e+01 -8.9349175270e-15 
-3.3000000000e+01 -9.0617733750e-15 
-3.3500000000e+01 -9.1880733410e-15 
-3.4000000000e+01 -9.3138288610e-15 
-3.4500000000e+01 -9.4390508710e-15 
-3.5000000000e+01 -9.5637498010e-15 
-3.5500000000e+01 -9.6879355770e-15 
-3.6000000000e+01 -9.8116176040e-15 
-3.6500000000e+01 -9.9348047980e-15 
-3.7000000000e+01 -1.0057505580e-14 
-3.7500000000e+01 -1.0179727900e-14 
-3.8000000000e+01 -1.0301479260e-14 
-3.8500000000e+01 -1.0422766710e-14 
-3.9000000000e+01 -1.0543596890e-14 
-3.9500000000e+01 -1.0663973100e-14 
-4.0000000000e+01 -1.0783907030e-14 
-4.0500000000e+01 -1.0903401240e-14 
-4.1000000000e+01 -1.1022460830e-14 
-4.1500000000e+01 -1.1141090570e-14 
-4.2000000000e+01 -1.1259294890e-14 
-4.2500000000e+01 -1.1377077880e-14 
-4.3000000000e+01 -1.1494443360e-14 
-4.3500000000e+01 -1.1611394820e-14 
-4.4000000000e+01 -1.1727935470e-14 
-4.4500000000e+01 -1.1844068240e-14 
-4.5000000000e+01 -1.1959795770e-14 
