EXPORTED XY-GRAPH DATA
141 2 2
Gate Voltage
Drain Current
1.0000000000e+01 -2.2059033170e-18 
9.5000000000e+00 -5.5258909850e-30 
9.0000000000e+00 -1.6811890540e-29 
8.5000000000e+00 -2.7412928870e-29 
8.0000000000e+00 -3.2471226420e-29 
7.5000000000e+00 -3.6851735710e-30 
7.0000000000e+00 -3.8698902530e-31 
6.5000000000e+00 -5.0730857720e-28 
6.0000000000e+00 -2.2838393060e-27 
5.5000000000e+00 -4.1708180140e-25 
5.0000000000e+00 -6.2064930110e-23 
4.5000000000e+00 -2.9918644480e-21 
4.0000000000e+00 -9.5101400840e-20 
3.5000000000e+00 -1.2491466640e-18 
3.0000000000e+00 -6.6417843930e-18 
2.5000000000e+00 -1.9038841570e-17 
2.0000000000e+00 -3.9001162050e-17 
1.5000000000e+00 -6.6748575740e-17 
1.0000000000e+00 -1.0303164850e-16 
5.0000000000e-01 -1.4954123610e-16 
3.1227274280e-15 -2.0968733550e-16 
-5.0000000000e-01 -2.9037553750e-16 
-1.0000000000e+00 -3.9873526430e-16 
-1.5000000000e+00 -5.3082506400e-16 
-2.0000000000e+00 -6.6682764400e-16 
-2.5000000000e+00 -8.0037509910e-16 
-3.0000000000e+00 -9.3608050620e-16 
-3.5000000000e+00 -1.0730179140e-15 
-4.0000000000e+00 -1.2111882900e-15 
-4.5000000000e+00 -1.3503995260e-15 
-5.0000000000e+00 -1.4905103690e-15 
-5.5000000000e+00 -1.6314055600e-15 
-6.0000000000e+00 -1.7729917000e-15 
-6.5000000000e+00 -1.9151913670e-15 
-7.0000000000e+00 -2.0579396990e-15 
-7.5000000000e+00 -2.2011817650e-15 
-8.0000000000e+00 -2.3448706520e-15 
-8.5000000000e+00 -2.4889659770e-15 
-9.0000000000e+00 -2.6334327140e-15 
-9.5000000000e+00 -2.7782402410e-15 
-1.0000000000e+01 -2.9233615680e-15 
-1.0500000000e+01 -3.0687727030e-15 
-1.1000000000e+01 -3.2144521290e-15 
-1.1500000000e+01 -3.3603803770e-15 
-1.2000000000e+01 -3.5065396700e-15 
-1.2500000000e+01 -3.6529136250e-15 
-1.3000000000e+01 -3.7994869970e-15 
-1.3500000000e+01 -3.9462454480e-15 
-1.4000000000e+01 -4.0931753270e-15 
-1.4500000000e+01 -4.2402634400e-15 
-1.5000000000e+01 -4.3874967890e-15 
-1.5500000000e+01 -4.5348622140e-15 
-1.6000000000e+01 -4.6823458900e-15 
-1.6500000000e+01 -4.8299324780e-15 
-1.7000000000e+01 -4.9776036440e-15 
-1.7500000000e+01 -5.1253352170e-15 
-1.8000000000e+01 -5.2730914670e-15 
-1.8500000000e+01 -5.4208128650e-15 
-1.9000000000e+01 -5.5683884920e-15 
-1.9500000000e+01 -5.7155905900e-15 
-2.0000000000e+01 -5.8619152800e-15 
-2.0500000000e+01 -6.0062352420e-15 
-2.1000000000e+01 -6.1474740760e-15 
-2.1500000000e+01 -6.3073537820e-15 
-2.2000000000e+01 -6.4540872280e-15 
-2.2500000000e+01 -6.6007362960e-15 
-2.3000000000e+01 -6.7470207070e-15 
-2.3500000000e+01 -6.8929612040e-15 
-2.4000000000e+01 -7.0389293620e-15 
-2.4500000000e+01 -7.1838354270e-15 
-2.5000000000e+01 -7.3281706000e-15 
-2.5500000000e+01 -7.4719713080e-15 
-2.6000000000e+01 -7.6151550540e-15 
-2.6500000000e+01 -7.7576825280e-15 
-2.7000000000e+01 -7.8995330950e-15 
-2.7500000000e+01 -8.0406592910e-15 
-2.8000000000e+01 -8.1810595040e-15 
-2.8500000000e+01 -8.3207323380e-15 
-2.9000000000e+01 -8.4596857900e-15 
-2.9500000000e+01 -8.5979308560e-15 
-3.0000000000e+01 -8.7354806040e-15 
-3.0500000000e+01 -8.8723488980e-15 
-3.1000000000e+01 -9.0085498410e-15 
-3.1500000000e+01 -9.1440973790e-15 
-3.2000000000e+01 -9.2790051070e-15 
-3.2500000000e+01 -9.4132861160e-15 
-3.3000000000e+01 -9.5469529490e-15 
-3.3500000000e+01 -9.6800175340e-15 
-3.4000000000e+01 -9.8124911750e-15 
-3.4500000000e+01 -9.9443845450e-15 
-3.5000000000e+01 -1.0075707710e-14 
-3.5500000000e+01 -1.0206467010e-14 
-3.6000000000e+01 -1.0336677330e-14 
-3.6500000000e+01 -1.0466344080e-14 
-3.7000000000e+01 -1.0595474990e-14 
-3.7500000000e+01 -1.0724077240e-14 
-3.8000000000e+01 -1.0852157530e-14 
-3.8500000000e+01 -1.0979722040e-14 
-3.9000000000e+01 -1.1106776500e-14 
-3.9500000000e+01 -1.1233326170e-14 
-4.0000000000e+01 -1.1359375870e-14 
-4.0500000000e+01 -1.1484929970e-14 
-4.1000000000e+01 -1.1609992470e-14 
-4.1500000000e+01 -1.1734566920e-14 
-4.2000000000e+01 -1.1858656500e-14 
-4.2500000000e+01 -1.1982264000e-14 
-4.3000000000e+01 -1.2105391830e-14 
-4.3500000000e+01 -1.2228042020e-14 
-4.4000000000e+01 -1.2350216240e-14 
-4.4500000000e+01 -1.2471915790e-14 
-4.5000000000e+01 -1.2593141630e-14 
-4.5500000000e+01 -1.2713894320e-14 
-4.6000000000e+01 -1.2834174100e-14 
-4.6500000000e+01 -1.2953980820e-14 
-4.7000000000e+01 -1.3073313960e-14 
-4.7500000000e+01 -1.3192172670e-14 
-4.8000000000e+01 -1.3310555680e-14 
-4.8500000000e+01 -1.3428461370e-14 
-4.9000000000e+01 -1.3545887700e-14 
-4.9500000000e+01 -1.3662832260e-14 
-5.0000000000e+01 -1.3779292200e-14 
