EXPORTED CROSS SECTION DATA
33 2 2
x coordinate
Hole Conc
0.0000000000e+00 0.0000000000e+00 
0.0000000000e+00 1.0000000000e+14 
1.0000000000e-02 1.1059022600e+14 
2.0000000000e-02 1.2232464700e+14 
3.0000000000e-02 1.3535704200e+14 
4.0000000000e-02 1.4987059900e+14 
5.0000000000e-02 1.6608523700e+14 
6.0000000000e-02 1.8426711800e+14 
7.0000000000e-02 2.0474111200e+14 
8.0000000000e-02 2.2790731800e+14 
9.0000000000e-02 2.5426321500e+14 
1.0000000000e-01 2.8443376200e+14 
1.1000000000e-01 3.1921287000e+14 
1.2000000000e-01 3.5962144800e+14 
1.3000000000e-01 4.0699007000e+14 
1.4000000000e-01 4.6307897500e+14 
1.5000000000e-01 5.3025600100e+14 
1.6000000000e-01 6.1176682600e+14 
1.7000000000e-01 7.1215661200e+14 
1.8000000000e-01 8.3794841600e+14 
1.9000000000e-01 9.9877397600e+14 
2.0000000000e-01 1.2093375300e+15 
2.1000000000e-01 1.4929952900e+15 
2.2000000000e-01 1.8886680700e+15 
2.3000000000e-01 2.4651656500e+15 
2.4000000000e-01 3.3535982100e+15 
2.5000000000e-01 4.8295000300e+15 
2.6000000000e-01 7.5550240800e+15 
2.7000000000e-01 1.3465578000e+16 
2.8000000000e-01 3.0324054400e+16 
2.9000000000e-01 1.1588762300e+17 
3.0000000000e-01 3.3573151300e+18 
3.0000000000e-01 0.0000000000e+00 
