EXPORTED CROSS SECTION DATA
33 2 2
x coordinate
Hole Conc
0.0000000000e+00 0.0000000000e+00 
0.0000000000e+00 1.0000000000e+14 
1.0000000000e-02 7.3979702900e+13 
2.0000000000e-02 5.4705050100e+13 
3.0000000000e-02 4.0420160200e+13 
4.0000000000e-02 2.9834300100e+13 
5.0000000000e-02 2.1993808500e+13 
6.0000000000e-02 1.6191691000e+13 
7.0000000000e-02 1.1902743000e+13 
8.0000000000e-02 8.7363977400e+12 
9.0000000000e-02 6.4021252500e+12 
1.0000000000e-01 4.6838677200e+12 
1.1000000000e-01 3.4210601200e+12 
1.2000000000e-01 2.4944960700e+12 
1.3000000000e-01 1.8157829400e+12 
1.4000000000e-01 1.3194680300e+12 
1.5000000000e-01 9.5715852500e+11 
1.6000000000e-01 6.9313236700e+11 
1.7000000000e-01 5.0106467700e+11 
1.8000000000e-01 3.6158902300e+11 
1.9000000000e-01 2.6048305000e+11 
2.0000000000e-01 1.8732067400e+11 
2.1000000000e-01 1.3447247900e+11 
2.2000000000e-01 9.6365630500e+10 
2.3000000000e-01 6.8936890200e+10 
2.4000000000e-01 4.9229085300e+10 
2.5000000000e-01 3.5093949900e+10 
2.6000000000e-01 2.4973708400e+10 
2.7000000000e-01 1.7740834500e+10 
2.8000000000e-01 1.2580712000e+10 
2.9000000000e-01 8.9058735500e+09 
3.0000000000e-01 6.2934376000e+09 
3.0000000000e-01 0.0000000000e+00 
