EXPORTED XY-GRAPH DATA
41 2 2
Drain Voltage
Drain Current
0.0000000000e+00 6.8475935260e-25 
-5.0000000000e-01 -3.1372665200e-16 
-1.0000000000e+00 -6.0799319120e-16 
-1.5000000000e+00 -8.8287537450e-16 
-2.0000000000e+00 -1.1410985210e-15 
-2.5000000000e+00 -1.3832404790e-15 
-3.0000000000e+00 -1.6095464850e-15 
-3.5000000000e+00 -1.8201913880e-15 
-4.0000000000e+00 -2.0153502430e-15 
-4.5000000000e+00 -2.1952222030e-15 
-5.0000000000e+00 -2.3600425300e-15 
-5.5000000000e+00 -2.5100922830e-15 
-6.0000000000e+00 -2.6457087840e-15 
-6.5000000000e+00 -2.7672978320e-15 
-7.0000000000e+00 -2.8753467530e-15 
-7.5000000000e+00 -2.9704339480e-15 
-8.0000000000e+00 -3.0532230530e-15 
-8.5000000000e+00 -3.1244122220e-15 
-9.0000000000e+00 -3.1845810490e-15 
-9.5000000000e+00 -3.2339673060e-15 
-1.0000000000e+01 -3.2736056980e-15 
-1.0500000000e+01 -3.3063348700e-15 
-1.1000000000e+01 -3.3339591320e-15 
-1.1500000000e+01 -3.3597586120e-15 
-1.2000000000e+01 -3.3825916510e-15 
-1.2500000000e+01 -3.4032436740e-15 
-1.3000000000e+01 -3.4220780420e-15 
-1.3500000000e+01 -3.4393476080e-15 
-1.4000000000e+01 -3.4552485140e-15 
-1.4500000000e+01 -3.4699438140e-15 
-1.5000000000e+01 -3.4835727310e-15 
-1.5500000000e+01 -3.4962556610e-15 
-1.6000000000e+01 -3.5080975230e-15 
-1.6500000000e+01 -3.5191902660e-15 
-1.7000000000e+01 -3.5296148260e-15 
-1.7500000000e+01 -3.5394426230e-15 
-1.8000000000e+01 -3.5487367280e-15 
-1.8500000000e+01 -3.5575527590e-15 
-1.9000000000e+01 -3.5659396340e-15 
-1.9500000000e+01 -3.5739402330e-15 
-2.0000000000e+01 -3.5815920270e-15 
